Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,142.44000244140625,142.5,140.00999450683594,141.11000061035156,134.433349609375,2866600
2023-01-06,142.3800048828125,144.25,141.5800018310547,143.6999969482422,136.90078735351562,3574000
2023-01-09,144.0800018310547,145.47000122070312,143.39999389648438,143.5500030517578,136.75790405273438,3987700
2023-01-10,143.61000061035156,144.85000610351562,142.89999389648438,144.8000030517578,137.94876098632812,2152100
2023-01-11,145.0,145.52999877929688,143.4499969482422,145.25999450683594,138.38699340820312,3268700
2023-01-12,144.8800048828125,146.66000366210938,144.52000427246094,145.5500030517578,138.66326904296875,2715900
2023-01-13,144.05999755859375,146.10000610351562,144.00999450683594,145.88999938964844,138.98719787597656,2455700
2023-01-17,146.4199981689453,147.17999267578125,145.00999450683594,145.19000244140625,138.32028198242188,2986500
2023-01-18,144.39999389648438,144.67999267578125,140.22999572753906,140.41000366210938,133.76644897460938,6445600
2023-01-19,140.0,142.22999572753906,139.75,140.6199951171875,133.96652221679688,4833900
2023-01-20,141.6699981689453,141.86000061035156,140.50999450683594,141.1999969482422,134.51907348632812,7153300
2023-01-23,141.39999389648438,142.99000549316406,141.05999755859375,141.86000061035156,135.14785766601562,5898400
2023-01-24,141.25,142.75,140.0,141.49000549316406,134.7953643798828,4407600
2023-01-25,140.47000122070312,141.02999877929688,139.36000061035156,140.75999450683594,134.09991455078125,7347500
2023-01-26,137.52999877929688,138.27000427246094,132.97999572753906,134.4499969482422,128.08847045898438,17548500
2023-01-27,134.44000244140625,135.49000549316406,133.77000427246094,134.38999938964844,128.0313262939453,8143100
2023-01-30,134.32000732421875,136.11000061035156,133.97999572753906,135.3000030517578,128.8982391357422,5375700
2023-01-31,135.5,135.64999389648438,133.75999450683594,134.72999572753906,128.35520935058594,7206400
2023-02-01,134.49000549316406,135.7899932861328,132.8000030517578,135.08999633789062,128.69818115234375,5428900
2023-02-02,135.9600067138672,136.72000122070312,134.85000610351562,136.38999938964844,129.93666076660156,6107800
2023-02-03,136.35000610351562,136.9499969482422,135.52999877929688,136.94000244140625,130.4606475830078,3755700
2023-02-06,135.8300018310547,136.32000732421875,134.9499969482422,136.17999267578125,129.73660278320312,4841300
2023-02-07,135.6699981689453,136.39999389648438,134.4499969482422,135.83999633789062,129.41268920898438,3737600
2023-02-08,135.7100067138672,136.74000549316406,135.16000366210938,135.97999572753906,129.54608154296875,4593700
2023-02-09,134.99000549316406,135.72999572753906,133.33999633789062,133.75,128.98672485351562,3918800
2023-02-10,133.77999877929688,135.77000427246094,133.5,135.60000610351562,130.77085876464844,5049600
2023-02-13,136.0,137.38999938964844,135.85000610351562,137.35000610351562,132.45852661132812,4403000
2023-02-14,137.0500030517578,137.24000549316406,135.0500030517578,136.00999450683594,131.16622924804688,3202200
2023-02-15,135.1999969482422,136.4499969482422,135.07000732421875,136.39999389648438,131.5423583984375,2506700
2023-02-16,135.57000732421875,135.97000122070312,134.58999633789062,135.0,130.1922149658203,2965500
2023-02-17,134.5,135.5800018310547,133.88999938964844,135.02000427246094,130.2115020751953,3466200
2023-02-21,134.0,134.38999938964844,131.66000366210938,131.7100067138672,127.0193862915039,4257200
2023-02-22,131.89999389648438,131.99000549316406,130.2899932861328,130.97000122070312,126.30574035644531,3200200
2023-02-23,131.5,131.6999969482422,128.86000061035156,130.7899932861328,126.13213348388672,3725600
2023-02-24,129.6199951171875,130.6699981689453,129.22000122070312,130.57000732421875,125.91998291015625,3015800
2023-02-27,131.4199981689453,131.8699951171875,130.1300048828125,130.49000549316406,125.84284210205078,2761300
2023-02-28,130.5500030517578,130.61000061035156,129.13999938964844,129.3000030517578,124.6952133178711,5143100
2023-03-01,128.89999389648438,129.47000122070312,127.73999786376953,128.19000244140625,123.62474060058594,3760700
2023-03-02,128.38999938964844,129.22000122070312,127.70999908447266,128.92999267578125,124.33837890625,3340100
2023-03-03,129.35000610351562,129.91000366210938,128.77000427246094,129.63999938964844,125.0230941772461,2860300
2023-03-06,129.63999938964844,130.86000061035156,129.58999633789062,130.19000244140625,125.55351257324219,3131200
2023-03-07,130.27999877929688,130.4199981689453,128.19000244140625,128.25,123.68260192871094,3530400
2023-03-08,128.47999572753906,128.74000549316406,127.55000305175781,128.0500030517578,123.48973083496094,2778800
2023-03-09,128.3000030517578,128.52999877929688,125.9800033569336,126.16000366210938,121.66703796386719,5478300
2023-03-10,126.12000274658203,127.29000091552734,125.12999725341797,125.44999694824219,120.98231506347656,5990900
2023-03-13,125.1500015258789,128.19000244140625,124.8499984741211,125.58000183105469,121.10769653320312,8188400
2023-03-14,126.48999786376953,126.63999938964844,123.19999694824219,124.6500015258789,120.2108154296875,8114800
2023-03-15,122.98999786376953,123.3499984741211,121.70999908447266,123.27999877929688,118.88959503173828,5989300
2023-03-16,122.95999908447266,124.81999969482422,121.91999816894531,124.69999694824219,120.25902557373047,6438700
2023-03-17,124.08000183105469,124.5199966430664,122.93000030517578,123.69000244140625,119.28499603271484,37400200
2023-03-20,124.30999755859375,126.16000366210938,124.19000244140625,125.94000244140625,121.45487213134766,4588300
2023-03-21,126.9000015258789,127.1500015258789,125.66000366210938,126.56999969482422,122.06243133544922,3856300
2023-03-22,127.0,127.22000122070312,124.01000213623047,124.05000305175781,119.63218688964844,3549000
2023-03-23,123.80999755859375,124.93000030517578,122.5999984741211,123.37000274658203,118.97640228271484,4651900
2023-03-24,123.36000061035156,125.4000015258789,122.87999725341797,125.29000091552734,120.82801055908203,3812300
